SMILES,logKoc
CC(=O)Nc1cccc(Cl)c1,1.86
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,1.86
CCCCN,1.88
Nc1ccc([N+](=O)[O-])cc1,1.88
CCCCCCCCCO,1.89
CCOC(=O)Cc1ccccc1,1.89
Cc1ccc(N)cc1,1.9
ClC(Cl)C(Cl)Cl,1.9
ClC(Br)Br,1.92
ClC(Cl)(Br)Br,1.92
CNC(=O)Nc1cccc(Cl)c1,1.93
COc1ccc(N)cc1Cl,1.93
O=C(Nc1ccccc1)NC1CCCC1,1.93
CC(O)=Nc1cccc([N+](=O)[O-])c1,1.94
CCSC(=O)N1CCCCCC1,1.94
c1ccccc1,1.94
CN(C)C(=O)Nc1ccc(Cl)cc1,1.95
COc1ccc(NC(C)=O)cc1Cl,1.95
N=C(O)c1cccc([N+](=O)[O-])c1,1.95
Nc1ccc(Br)cc1,1.96
COC(=O)/C=C(/C)OP(=O)(OC)OC,1.97
COC(=O)/C=C(\C)OP(=O)(OC)OC,1.97
NC(=O)Nc1cccc(C(F)(F)F)c1,1.97
Nc1ccc(Cl)cc1,1.97
Nc1ccc(Cc2ccc(N)cc2)cc1,1.99
CC(C)[C@]1(C)N=C(c2ncccc2C(=O)O)NC1=O,2.0
CCC/C(=N\OCC)C1=C(O)C[C@H](C[C@H](C)SCC)CC1=O,2.0
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,2.0
COC(=O)c1ccccc1C(=O)OC,2.0
COP(=O)(OC)O/C(C)=C/C(=O)O[C@H](C)c1ccccc1,2.0
COc1ccc(NC(N)=O)cc1Cl,2.0
NC(=O)Cc1cccc2ccccc12,2.0
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,2.01
CN1CCC[C@@H]1c1cccnc1,2.01
NC(=O)Nc1cccc(Cl)c1,2.01
Cc1ccc(NC(=O)N(C)C)cc1Cl,2.02
O=C(Nc1ccccc1)Nc1cnns1,2.02
COc1ccccc1OC,2.03
COc1nn(CSP(=S)(OC)OC)c(=O)s1,2.03
CC(Cl)(Cl)Cl,2.04
COC(=O)NS(=O)(=O)c1ccc(N)cc1,2.04
Nc1ccc(Sc2ccc(N)cc2)cc1,2.04
CCO[C@@H]1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,2.05
Nc1ccc(C(=O)O)cc1,2.05
CCCCCC(=O)OCC,2.06
CCCOC(=O)Nc1ccccc1,2.06
CN(C)C(=O)C(c1ccccc1)c1ccccc1,2.06
O=[N+]([O-])c1ccc(O)cc1,2.06
N[C@@H]1CNN(c2ccccc2)C(=O)[C@H]1Cl,2.07
O=C(Nc1ccccc1)NC1CCCCC1,2.07
O=[N+]([O-])c1ccccc1,2.07
COc1ccc([C@@](O)(c2cncnc2)C2CC2)cc1,2.08
NC(=O)Nc1cccc(Br)c1,2.09
O=C(O)[C@@H]1[C@@H](C(=O)O)[C@H]2CC[C@@H]1O2,2.09
CNC(=O)Nc1ccc(C)c(Cl)c1,2.1
COC(=O)c1ccccc1,2.1
CC(C)c1ccc(NC(=O)N(C)C)cc1,2.11
Cc1[nH]c(=O)n(C(C)C)c(=O)c1Br,2.11
Oc1nc(Cl)c(Cl)cc1Cl,2.11
CCNc1nc(Cl)nc(NCC)n1,2.12
CNC(=O)Oc1cccc(Cl)c1,2.15
Oc1ccccc1Cl,2.16
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,2.17
CCOP(=S)(OCC)Oc1ccc(S(C)(=O)=O)cc1,2.17
CCC(=O)Nc1ccc(Cl)c(Cl)c1,2.18
CCOP(=S)(OCC)SCS(=O)(=O)C(C)(C)C,2.18
CCOP(=S)(OCC)SC[S@](=O)C(C)(C)C,2.18
Oc1cccc(Cl)c1,2.18
CON(C)C(=O)Nc1ccc(Cl)cc1,2.2
Cc1ccc(O)cc1,2.2
Cc1ccccc1,2.2
FC(Cl)(Cl)Cl,2.2
CCNc1nc(Cl)nc(NC(C)C)n1,2.21
CCOC(=O)c1ccc(O)cc1,2.21
CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,2.21
CCOCN(C(=O)CCl)c1c(C)cccc1CC,2.22
O=C(O)Cc1cccc2ccccc12,2.25
OCc1cccc2ccccc12,2.25
S=c1[nH]c2ccccc2s1,2.25
CCCCOC(=O)Nc1ccccc1,2.26
Cc1cc(N)ccc1Br,2.26
NC(=S)c1c(Cl)cccc1Cl,2.26
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,2.28
CCc1cccc(CC)c1N(COC)C(=O)CCl,2.28
N#Cc1cc(Br)c(O)c(Br)c1,2.28
Nc1ccc(Cl)c(Cl)c1,2.29
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,2.3
CCOC(=O)c1ccccc1,2.3
O=C1[C@H]2CC=CC[C@@H]2C(=O)N1SC(Cl)(Cl)Cl,2.3
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,2.31
N=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,2.31
CCNc1nc(Cl)nc(NC(C)(C)C)n1,2.32
CNC(=O)Oc1cc(C)c(SC)c(C)c1,2.32
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,2.32
Brc1ccccc1,2.34
CC(=O)Nc1ccc(Cl)c(Cl)c1,2.34
OC(c1ccccc1)c1ccccc1,2.34
COC(=O)Nc1nc2ccccc2[nH]1,2.35
Nc1cccc(C(F)(F)F)c1,2.36
CCN(CC)c1ccccc1,2.37
Cc1cc(NC(N)=O)ccc1Br,2.37
CCCN(CCC)C(=O)SCC,2.38
CCCSC(=O)N(CCC)CCC,2.38
Cc1ccccc1C,2.38
N#Cc1c(Cl)cccc1Cl,2.38
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,2.4
CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1,2.4
CC[C@@H](C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,2.4
Oc1ccc(Br)cc1,2.41
CC(C)N(C(=O)CCl)c1ccccc1,2.42
O=[N+]([O-])c1ccc(Br)cc1,2.42
Nc1cc(Cl)cc(Cl)c1,2.44
CNC(=O)Nc1ccc(Cl)c(Cl)c1,2.46
CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,2.47
CCOP(=O)(OCC)O/C(=C\Cl)c1ccc(Cl)cc1Cl,2.47
CN(C)C(=O)Nc1cc(C(C)(C)C)on1,2.47
Cc1ccc(C)cc1,2.47
ClC(Cl)=C(Cl)Cl,2.47
CCOC(=O)Cc1cccc2ccccc12,2.48
CCOC(=O)c1ccc([N+](=O)[O-])cc1,2.48
CS/C(C)=N\OC(=O)N(C)SN(C)C(=O)O/N=C(\C)SC,2.49
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.5
Clc1ccccc1Cl,2.51
CCOP(=S)(OCC)Oc1ccc([S@@](C)=O)cc1,2.52
COC(=O)COc1cc(Cl)c(Cl)cc1Cl,2.52
Cc1cc(NC(=O)N(C)C)cc(C)c1Br,2.53
NC(=O)Nc1ccc(Cl)c(Cl)c1,2.53
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,2.53
Clc1ccc(Cl)cc1,2.54
Cc1ccccc1Cl,2.55
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,2.55
O=C1[C@H](Cl)[C@H](CCl)CN1c1cccc(C(F)(F)F)c1,2.55
COc1nc(NC(C)C)nc(NC(C)C)n1,2.57
CCCCCCCCCCO,2.59
CCNc1nc(NC(C)C)nc(SC)n1,2.59
CCOC(=O)c1ccc(C)cc1,2.59
CNC(=O)Oc1cc(C)c(C)c(C)c1,2.6
Cc1ccccc1CO[C@H]1C[C@]2(C(C)C)CC[C@@]1(C)O2,2.6
O=[N+]([O-])c1ccc(Br)c(Cl)c1,2.6
CC(C)(C)C(=O)[C@@H](Oc1ccc(Cl)cc1)n1cncn1,2.61
CCCCCOC(=O)Nc1ccccc1,2.61
Clc1cccc(C(Cl)(Cl)Cl)n1,2.62
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.63
Nc1ccc(Cl)c(Cl)c1Cl,2.63
COP(=S)(OC)SCn1nnc2ccccc2c1=O,2.64
CC(C)OC(=O)Nc1cccc(Cl)c1,2.65
Oc1cccc(Cl)c1Cl,2.65
CCN(CC)C(=O)[C@@H](C)Oc1cccc2ccccc12,2.66
O=C(c1ccccc1)c1ccccc1,2.67
CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC,2.68
O=C(O)c1c2ccccc2cc2ccccc12,2.69
CCCCOCCOC(=O)CCCOc1ccc(Cl)cc1Cl,2.7
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,2.7
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,2.71
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.72
Nc1ccc(Cl)cc1Cl,2.72
CCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,2.74
CNC(=O)Oc1ccc(Cl)c(Cl)c1,2.74
COC(=O)Nc1ccc(Cl)c(Cl)c1,2.74
COC(=O)c1cc(Cl)cc(N)c1Cl,2.74
CNC(=O)Oc1cccc2c1OC(C)(C)O2,2.75
Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,2.75
Oc1ccc(Cl)cc1Cl,2.75
CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,2.76
CCO[P@@](=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,2.76
Cc1nc(C)c(Cl)c(O)c1Cl,2.76
CCNc1nc(Cl)nc(N(CC)CC)n1,2.77
Cc1cccc(C)c1,2.77
c1ccc(Nc2ccccc2)cc1,2.78
Nc1ccc(/N=N/c2ccccc2)cc1,2.79
O=C(O)[C@@H]1[C@H](C(=O)O)[C@]2(Cl)C(Cl)=C(Cl)[C@@]1(Cl)C2(Cl)Cl,2.79
CCCCN(CC)C(=O)SCCC,2.8
Cc1cccc(C)c1C,2.8
O=CN[C@H](N1CCN([C@@H](NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,2.8
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.81
CCOP(=S)(OCC)SCSC(C)(C)C,2.82
C=CCc1ccc2c(c1)OCO2,2.83
CN(C)C(=S)SSC(=S)N(C)C,2.83
Cc1cc(C)cc(O)c1,2.83
Oc1cc(Cl)cc(Cl)c1,2.83
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,2.85
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,2.85
CSc1nc(NC(C)C)nc(NC(C)C)n1,2.85
Clc1cc(Cl)cc(Cl)c1,2.85
CN(C)CCN(Cc1cccs1)c1ccccn1,2.87
