SMILES,logKoc
O=C1[C@]2(Cl)[C@@]3(Cl)[C@]4(Cl)C(Cl)(Cl)[C@@]5(Cl)[C@](Cl)([C@]1(Cl)[C@]53Cl)[C@]24Cl,4.2
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl,4.23
CO[P@](=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,4.24
CCCS[P@@](=S)(OCC)Oc1ccc(SC)cc1,4.25
O=C1c2ccccc2-c2ccc3c4c(ccc1c24)-c1ccccc1C3=O,4.28
c1ccc2c(c1)ccc1ccccc12,4.32
c1ccc2cc3ccccc3cc2c1,4.34
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,4.35
CC(C)[C@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,4.37
c1ccc2nc3ccc4ccccc4c3cc2c1,4.39
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,4.4
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,4.41
Clc1cccc(-c2ccccc2)c1,4.42
Nc1ccc2cc3ccccc3cc2c1,4.45
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.56
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,4.62
Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.62
CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,4.64
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,4.66
COP(=S)(OC)SCSc1ccc(Cl)cc1,4.67
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,4.68
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,4.72
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.76
c1cc2ccc3cccc4ccc(c1)c2c34,4.79
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,4.8
c1ccc2c(c1)ccc1ncccc12,4.81
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,4.82
Clc1ccc(-c2ccccc2Cl)c(Cl)c1,4.84
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],4.85
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,4.87
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,4.9
CCc1c(Br)c(Br)c(Br)c(Br)c1Br,4.92
CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)OC[C@H](CC)CCCC,4.97
CC(C)[C@@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,5.0
CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)O[C@H](C#N)c1ccc(F)c(Oc2ccccc2)c1,5.0
CC1(C)[C@@H]([C@H](Br)C(Br)(Br)Br)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,5.0
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,5.0
Nc1cc2c3ccccc3ccc2c2ccccc12,5.21
CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,5.26
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,5.33
Cc1c(COC(=O)[C@@H]2[C@H](/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,5.35
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,5.36
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,5.38
c1ccc2cc3c(ccc4ccccc43)cc2c1,5.4
c1ccc2c(c1)Cc1c-2ccc2ccccc12,5.46
c1ccc2c(c1)ccc1c3ccccc3ccc21,5.5
c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34,5.71
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,5.74
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,5.77
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,5.83
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,5.87
Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,5.89
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,5.95
c1ccc2c(c1)ccc1[nH]c3ccc4ccccc4c3c12,6.02
c1ccc2c(c1)ccc1c3ccc4ccccc4c3[nH]c21,6.02
c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12,6.02
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,6.07
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,6.25
c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,6.33
