iteration,random_state,n_train,n_test,R2_ext,RMSE_ext,MAE_ext
43,20260562,513,129,0.8120524200201351,0.5339397179912609,0.4449185798598684
44,20260563,513,129,0.8675857862991757,0.4586034522862173,0.3719681596027863
45,20260564,513,129,0.8746029296868232,0.44667947256619517,0.3618417016000745
46,20260565,513,129,0.8378847513379732,0.4956019172701501,0.40185190630508977
47,20260566,513,129,0.7798565874723176,0.5162757661409938,0.42941863581595063
48,20260567,513,129,0.7832199351337988,0.5464535782775982,0.42817188849822396
49,20260568,513,129,0.8154657810739708,0.5337004815403767,0.4131117271963678
50,20260569,513,129,0.8158540953284834,0.4945710592682342,0.4001328444447535
51,20260570,513,129,0.8244260964966542,0.4918276455291571,0.3917151110580317
52,20260571,513,129,0.8361163344165775,0.5460976981511664,0.44159033952339694
53,20260572,513,129,0.7830559933489443,0.5259036174258688,0.4279611806997638
54,20260573,513,129,0.7697661262085076,0.5231259012325032,0.4272125209653992
55,20260574,513,129,0.7937263898207588,0.5026108870011695,0.40903246116211606
56,20260575,513,129,0.785632792629738,0.5569316246243867,0.4508581079951511
57,20260576,513,129,0.8208076475568117,0.5185945066242783,0.4139116185044012
58,20260577,513,129,0.81451977716568,0.49435856993649996,0.3821957502996435
59,20260578,513,129,0.8501317037483969,0.46831604488044576,0.38715204109530493
60,20260579,513,129,0.7672830698749783,0.5540937956636308,0.4485415260954263
61,20260580,513,129,0.7661028675031956,0.5591924265017768,0.4493682004549186
62,20260581,513,129,0.8328339999147777,0.48485957313625616,0.3967235021344721
63,20260582,513,129,0.785783350697146,0.5274911084993825,0.41639990518866765
64,20260583,513,129,0.7795519053343843,0.5159431290907402,0.42466793157279564
65,20260584,513,129,0.7823115090471654,0.500452417395645,0.3971658488465481
66,20260585,513,129,0.8238161084302389,0.5071766345782306,0.4082948527813566
67,20260586,513,129,0.7245884275250524,0.5243033996795237,0.427413675548525
68,20260587,513,129,0.7976857308469568,0.5333612782349094,0.4334711078988634
69,20260588,513,129,0.7741094731288379,0.5611030428781727,0.4536157584469565
70,20260589,513,129,0.8278701570754552,0.5093224246515515,0.42839450770087867
71,20260590,513,129,0.8505321828101001,0.45604399385559163,0.36766169565678186
72,20260591,513,129,0.8147500127139696,0.5139562296198446,0.41842029754429233
73,20260592,513,129,0.7879348988185264,0.5360655579572418,0.43758423498629334
74,20260593,513,129,0.8467254108056237,0.4676421369942278,0.3909262687722136
75,20260594,513,129,0.8062992026763064,0.5284156149570328,0.4286278363372261
76,20260595,513,129,0.8244760541208553,0.5349285105042783,0.4143164789218892
77,20260596,513,129,0.8643712499007095,0.4703723029531565,0.3926864144392915
78,20260597,513,129,0.84199142785006,0.522184231768597,0.41733967964813923
79,20260598,513,129,0.7889546583102588,0.5374265627543163,0.4252181347095101
80,20260599,513,129,0.7783571125329631,0.5536374159403203,0.4303478383409609
81,20260600,513,129,0.7432582694548568,0.5854792440568296,0.47610602285653464
82,20260601,513,129,0.8542874209847626,0.45617342391192794,0.37189808902730354
83,20260602,513,129,0.8140290833126738,0.5157172631155696,0.408838973383089
84,20260603,513,129,0.8294447994878716,0.5371051352085228,0.43896142649608444
85,20260604,513,129,0.786134694629137,0.5409083720162461,0.4346099738815379
86,20260605,513,129,0.832997723882839,0.48092563835650093,0.39274428943961137
87,20260606,513,129,0.8010772031808977,0.5233334055835235,0.43147015072993017
88,20260607,513,129,0.7923457592619411,0.519243268394879,0.40159235952179595
89,20260608,513,129,0.7901626934124184,0.5005291244989499,0.3928059038683779
90,20260609,513,129,0.7743255335687153,0.5531932632666514,0.44698330018091503
91,20260610,513,129,0.8096140120211275,0.5155352460904453,0.41166386350357465
92,20260611,513,129,0.7928310869956359,0.5070757165300459,0.4318494991023934
93,20260612,513,129,0.7670731560907791,0.5351927039248773,0.4329353031612222
94,20260613,513,129,0.8391026346587749,0.4902803326346461,0.40189007808022087
95,20260614,513,129,0.817503107545557,0.5413784333197799,0.44760946327739826
96,20260615,513,129,0.7916596458058545,0.5186861977462538,0.4245778630339697
97,20260616,513,129,0.7184601826336208,0.5498308533585393,0.4491525471696108
98,20260617,513,129,0.8550815529624656,0.46694556549199334,0.38166063295147373
99,20260618,513,129,0.8498817149444848,0.4975123763559946,0.39221989133623925
100,20260619,513,129,0.8619095045644871,0.45817332551520296,0.37678991194184874
