Model_ID,Track,Selector,Regressor,Cluster_File,N_Selected_Features,Selected_Features,R2_train,CCC_tr,RMSE_train,Q2_cv,CCC_cv,RMSE_cv,MAE_cv,Q2_ext_F1,Q2_ext_F2,Q2_ext_F3,CCC_ext,RMSE_ext,MAE_ext
Hierarchical_GA_PLS,Hierarchical,GA,PLS,feature_clusters_pyqsar3_hierarchical.cluster,8,ABC;ATSC3s;BCUTs-1h;FilterItLogS;GATS1i;MATS1v;n6HRing;nG12FaRing,0.816349573783532,0.8988903739306542,0.514040020570049,0.8072856191451404,0.8942517745887841,0.5265723175116184,0.4174619595049555,0.8199757875781511,0.8199609483950023,0.8246815960600903,0.9095739767257803,0.5022439525099053,0.40507252024727325
Hierarchical_GA_MLR,Hierarchical,GA,MLR,feature_clusters_pyqsar3_hierarchical.cluster,8,ABC;ATSC3s;BCUTs-1h;FilterItLogS;GATS1i;MATS1v;n6HRing;nG12FaRing,0.8167752648646613,0.8991483764234387,0.5134439173969655,0.8071244831317818,0.894195564418548,0.5267924153436385,0.4181505147494937,0.8197477736937799,0.8197329157157159,0.8244595424277131,0.9098999589487622,0.5025619162836865,0.40438642637936517
SOM_MC_PLS,SOM,MC,PLS,feature_clusters_pyqsar3_som.cluster,8,ABC;ATSC2Z;ATSC3s;BCUTs-1h;EState_VSA5;FilterItLogS;GATS1i;VSA_EState1,0.8158627554218403,0.8985951751979276,0.5147208752492655,0.8036694955894185,0.8927340192785839,0.5314897007938736,0.41428287196972036,0.817485693824741,0.8174706493861058,0.822256593019468,0.9083530379725847,0.5057055410188475,0.3828054424066658
Hierarchical_MC_PLS,Hierarchical,MC,PLS,feature_clusters_pyqsar3_hierarchical.cluster,8,ABC;BCUTs-1h;C1SP2;ETA_shape_y;FilterItLogS;NdS;SlogP_VSA1;SlogP_VSA2,0.818293663774738,0.9000676624214579,0.5113120147624438,0.8119587859481894,0.8966330382086228,0.5201486614709435,0.42011195621110264,0.8165318855448964,0.8165167624849716,0.821327717158619,0.906939538222455,0.5070252118049995,0.39682596136469744
Hierarchical_MC_MLR,Hierarchical,MC,MLR,feature_clusters_pyqsar3_hierarchical.cluster,8,ABC;BCUTs-1h;C1SP2;ETA_shape_y;FilterItLogS;NdS;SlogP_VSA1;SlogP_VSA2,0.8201821478315219,0.9012088694624851,0.5086480278414838,0.8119744761107354,0.8966561215785088,0.5201269604110512,0.41999776231891967,0.8142669240460757,0.8142516142880503,0.8191219614460035,0.9060428024492694,0.5101452907250685,0.39714045174237156
KMeans_MC_MLR,KMeans,MC,MLR,feature_clusters_pyqsar3_kmeans.cluster,8,AATS2i;ATS0dv;ATS6Z;FilterItLogS;IC2;NdO;RNCG;nG12FRing,0.7998990156764691,0.8888265493893142,0.5365689957699538,0.7871655805167206,0.8817092880732177,0.5533780053365704,0.4412872414627141,0.8119551682257267,0.8119396679124001,0.816870634609074,0.9018641403811114,0.5133102744455573,0.39588566764592537
KMeans_GA_MLR,KMeans,GA,MLR,feature_clusters_pyqsar3_kmeans.cluster,8,ATS0dv;ATS1Z;ATS5Z;ATSC0se;ATSC3s;ETA_shape_y;FilterItLogS;TopoPSA(NO),0.7835945463975742,0.8786689194360282,0.5580011096458866,0.7609777975547771,0.8670460042457735,0.5864352723087849,0.46220516229284697,0.8104620307350627,0.8104464073441768,0.815416527529785,0.8984388289367917,0.5153441707425737,0.4130211051191264
SOM_MC_MLR,SOM,MC,MLR,feature_clusters_pyqsar3_som.cluster,8,ABC;ATSC3s;BCUTs-1h;EState_VSA5;EState_VSA7;FilterItLogS;GATS1i;PEOE_VSA6,0.8156594024145202,0.898471818370595,0.5150050142779041,0.8065979945112848,0.893810982784405,0.5275109129659113,0.4102806506278935,0.8007836644846937,0.8007672433175119,0.8059911524597667,0.8993148323333019,0.5283378565342146,0.40645414277082276
KMeans_GA_PLS,KMeans,GA,PLS,feature_clusters_pyqsar3_kmeans.cluster,8,ATS0dv;ATS1Z;ATS5Z;ATSC0se;ATSC3s;ETA_shape_y;FilterItLogS;TopoPSA(NO),0.7686941573960193,0.869222249852104,0.5768916638797301,0.7511810635493513,0.8610423585226139,0.5983326148657386,0.4685764525778008,0.795682987228208,0.7956661456182258,0.8010238062145615,0.8902278046132753,0.5350588126785455,0.42004962258204076
KMeans_MC_PLS,KMeans,MC,PLS,feature_clusters_pyqsar3_kmeans.cluster,8,ATS1Z;ATS3Z;ATSC3Z;ETA_shape_y;FilterItLogS;MATS1c;NdO;nG12FRing,0.7898847960007127,0.8826096492529768,0.5498316070264737,0.774645760998357,0.8749889626298617,0.5694214564944445,0.4584156850821697,0.7935050391366387,0.7934880180009685,0.7989027893905405,0.8935166072010774,0.5379030233559444,0.41593355073130234
