Iteration,Random_State,Scrambled_R2
1,20260520,0.01910548147946356
2,20260521,0.008192059779326022
3,20260522,0.007165146960542934
4,20260523,0.018202870130296867
5,20260524,0.022152682343038577
6,20260525,0.014161565231227025
7,20260526,0.025092811668650405
8,20260527,0.017455130504492433
9,20260528,0.015868607986386007
10,20260529,0.021304632363891907
11,20260530,0.010239253903544077
12,20260531,0.016877566813091383
13,20260532,0.014165712921331952
14,20260533,0.013644474002424745
15,20260534,0.014420145346171864
16,20260535,0.01409221708223507
17,20260536,0.021067246081730828
18,20260537,0.016156329539868786
19,20260538,0.01182984875994908
20,20260539,0.012895319759325563
21,20260540,0.021474520487920423
22,20260541,0.005494828326079948
23,20260542,0.01229783691316666
24,20260543,0.0030248963074001045
25,20260544,0.019491446398516854
26,20260545,0.016942204796375315
27,20260546,0.0189881328208108
28,20260547,0.00709841305276504
29,20260548,0.008394141486191886
30,20260549,0.015212526390929182
31,20260550,0.039414697647965014
32,20260551,0.015094515776655881
33,20260552,0.007372334581823958
34,20260553,0.018057697606908785
35,20260554,0.022548368641542416
36,20260555,0.028230333657693785
37,20260556,0.0358247800906063
38,20260557,0.011103659999911475
39,20260558,0.013625594365994975
40,20260559,0.006271212364268419
41,20260560,0.006941606083687213
42,20260561,0.019138916082333757
43,20260562,0.008710718251118688
44,20260563,0.00978009704703564
45,20260564,0.029026766919700075
46,20260565,0.02429441915351982
47,20260566,0.019795002555667462
48,20260567,0.0199531798486855
49,20260568,0.00823976229107537
50,20260569,0.009851906437909341
51,20260570,0.018875974743138513
52,20260571,0.002336108525868852
53,20260572,0.01742096143395533
54,20260573,0.027872351343746438
55,20260574,0.020566435408349903
56,20260575,0.012656052543390417
57,20260576,0.024510012998838038
58,20260577,0.011700194904974093
59,20260578,0.01872872426592298
60,20260579,0.01725582977755802
61,20260580,0.013869500671039092
62,20260581,0.011927248865829632
63,20260582,0.020322021746012275
64,20260583,0.00942529137068504
65,20260584,0.014343456565486745
66,20260585,0.007272430287087572
67,20260586,0.012024967460461777
68,20260587,0.010311292036386144
69,20260588,0.027021676963525865
70,20260589,0.006772058768547473
71,20260590,0.020956131048463167
72,20260591,0.015050186942613175
73,20260592,0.0054349860964790775
74,20260593,0.030509984221476327
75,20260594,0.012716763052050939
76,20260595,0.00857983508730864
77,20260596,0.031225167798970555
78,20260597,0.030268735259072144
79,20260598,0.01573841559645961
80,20260599,0.01987269290499749
81,20260600,0.014520827576455786
82,20260601,0.03257034945150039
83,20260602,0.02723005901828013
84,20260603,0.02442842018243796
85,20260604,0.004925406332908389
86,20260605,0.011060805492329906
87,20260606,0.011489346846323079
88,20260607,0.008336459095761306
89,20260608,0.019326797470412105
90,20260609,0.013143735987312333
91,20260610,0.014718048926655958
92,20260611,0.012772458775261786
93,20260612,0.02839350456433687
94,20260613,0.011421334753031975
95,20260614,0.01784805756809993
96,20260615,0.015229989794873666
97,20260616,0.014103836436115125
98,20260617,0.011421185999348715
99,20260618,0.010103884406249763
100,20260619,0.025241797439585545
