 0.5758, 0.7813
 0.5963, 0.7621
 0.5963, 0.7621
 0.5963, 0.7621
 0.6604, 0.6990
 0.6604, 0.6990
 0.6604, 0.6990
 0.6772, 0.6815
 0.6774, 0.6813
 0.6774, 0.6813
 0.6834, 0.6749
 0.6941, 0.6634
 0.7272, 0.6265
 0.7272, 0.6265
 0.7272, 0.6265
 0.7272, 0.6265
 0.7272, 0.6265
 0.7283, 0.6253
 0.7318, 0.6212
 0.7318, 0.6212
 0.7318, 0.6212
 0.7318, 0.6212
 0.7318, 0.6212
 0.7318, 0.6212
 0.7386, 0.6133
 0.7386, 0.6132
 0.7396, 0.6121
 0.7416, 0.6098
 0.7416, 0.6098
 0.7438, 0.6072
 0.7438, 0.6072
 0.7494, 0.6005
 0.7494, 0.6005
 0.7494, 0.6005
 0.7494, 0.6005
 0.7494, 0.6005
 0.7507, 0.5989
 0.7507, 0.5989
 0.7507, 0.5989
 0.7537, 0.5954
 0.7537, 0.5954
 0.7537, 0.5954
 0.7537, 0.5954
 0.7537, 0.5954
 0.7554, 0.5933
 0.7554, 0.5933
 0.7564, 0.5921
 0.7564, 0.5921
 0.7564, 0.5921
 0.7564, 0.5921
 0.7578, 0.5903
 0.7578, 0.5903
 0.7578, 0.5903
 0.7578, 0.5903
 0.7578, 0.5903
 0.7578, 0.5903
 0.7578, 0.5903
 0.7578, 0.5903
 0.7608, 0.5866
 0.7626, 0.5845
 0.7626, 0.5845
 0.7626, 0.5845
 0.7626, 0.5845
 0.7626, 0.5845
 0.7626, 0.5845
 0.7626, 0.5845
 0.7626, 0.5845
 0.7701, 0.5752
 0.7701, 0.5752
 0.7701, 0.5752
 0.7701, 0.5752
 0.7701, 0.5752
 0.7701, 0.5752
 0.7701, 0.5752
 0.7701, 0.5752
 0.7701, 0.5752
 0.7751, 0.5689
 0.7751, 0.5689
 0.7751, 0.5689
 0.7751, 0.5689
 0.7762, 0.5674
 0.7762, 0.5674
 0.7762, 0.5674
 0.7762, 0.5674
 0.7762, 0.5674
 0.7762, 0.5674
 0.7762, 0.5674
 0.7762, 0.5674
 0.7762, 0.5674
 0.7762, 0.5674
 0.7762, 0.5674
 0.7765, 0.5671
 0.7765, 0.5671
 0.7846, 0.5566
 0.7846, 0.5566
 0.7846, 0.5566
 0.7846, 0.5566
 0.7870, 0.5536
 0.7870, 0.5536
 0.7870, 0.5536
 0.7870, 0.5536
 0.7870, 0.5536
 0.7870, 0.5536
 0.7873, 0.5532
 0.7893, 0.5506
 0.7989, 0.5378
 0.8006, 0.5357
 0.8006, 0.5357
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
 0.8024, 0.5332
